Loja,Ref. Basica,Descriçao,Saldo em Estoque,Estoque $ Custo,Estoque $ Venda,Tab Preco Custo,PV Tab Venda,PV Tab Promo,PV Tab P Original,Razão Social Fornecedor,Nome Fantasia Fornecedor,Marca,Coleção,Categoria,SubCategoria,Origem,Material,Grupo,Artigo,Modelo,Dt. Saldo,Cod. Saldo
242 - UK - RECIFE 4 - 242,2 02 17 007811,MOCASSIM COURO LOCAL I23,1,"146,9",249,"146,9",499,249,499,ART - MILLE ARTEFATOS DE COURO,ART-MILLE,UNCLE K,INVERNO 2023,CALCADOS,SAPATO,NACIONAL,COURO,MASCULINO,MOCASSIM,LOCAL COURO I23,8/10/2024,1
226 - UK - RECIFE - 226,2 02 17 007811,MOCASSIM COURO LOCAL I23,1,"146,9",249,"146,9",499,249,499,ART - MILLE ARTEFATOS DE COURO,ART-MILLE,UNCLE K,INVERNO 2023,CALCADOS,SAPATO,NACIONAL,COURO,MASCULINO,MOCASSIM,LOCAL COURO I23,11/28/2025,1
226 - UK - RECIFE - 226,2 02 06 007304,TENIS COURO SLIM,1,122,199,122,410,199,410,ART - MILLE ARTEFATOS DE COURO,ART-MILLE,UNCLE K,INVERNO 2022,CALCADOS,BOTA,NACIONAL,COURO,MASCULINO,BOTA,SLIMI22,9/10/2023,1
226 - UK - RECIFE - 226,2 02 06 007304,TENIS COURO SLIM,1,122,199,122,410,199,410,ART - MILLE ARTEFATOS DE COURO,ART-MILLE,UNCLE K,INVERNO 2022,CALCADOS,BOTA,NACIONAL,COURO,MASCULINO,BOTA,SLIMI22,3/1/2022,1
226 - UK - RECIFE - 226,2 02 17 007083,MOCASSIM CAMURCA LOCAL V22,1,112,199,112,360,199,360,ART - MILLE ARTEFATOS DE COURO,ART-MILLE,UNCLE K,VERAO 2022,CALCADOS,MOCASSIM,NACIONAL,CAMURCA,MASCULINO,MOCASSIM,LOCAL V22,10/17/2023,1
242 - UK - RECIFE 4 - 242,2 04 02 008661,COLAR METAL CV26H,3,105,327,35,109,109,109,VIRAGINI BIJOUTERIA LTDA,VIRAGINI,UNCLE K,VERAO 2026,ACESSORIOS,BIJUTERIA,NACIONAL,METAL,BIJUTERIA,COLAR,CV26HV26,12/26/2025,1
238 - UK - RECIFE 2 - 238,2 01 03 008411,BOLSA COURO 61258 V25,1,170,441,170,589,441,589,BMCG INDUSTRIA E COMERCIO DE COURO LTDA EPP,BMCG,UNCLE K,VERAO 2025,BOLSAS,BOLSA COURO,NACIONAL,COURO,BOLSAS COURO,BOLSA TRANSPASSE,61258V25,11/21/2024,1
242 - UK - RECIFE 4 - 242,2 04 13 008985,NECESSAIRE SINTETICO 70615 I26,4,184,556,46,139,139,139,BMCG INDUSTRIA E COMERCIO DE COURO LTDA EPP,BMCG,UNCLE K,INVERNO 2026,ACESSORIOS,NECESSAIRES,NACIONAL,SINTETICO,NECESSAIRES,NECESSAIRE,70615I26,3/16/2026,1
226 - UK - RECIFE - 226,2 04 07 008977,CARTEIRA COURO 70426 I26,6,540,1614,90,269,269,269,BMCG INDUSTRIA E COMERCIO DE COURO LTDA EPP,BMCG,UNCLE K,INVERNO 2026,ACESSORIOS,CARTEIRA COURO,NACIONAL,COURO,CARTEIRAS,CARTEIRA COURO,70426I26,3/4/2026,1
240 - UK - RECIFE 3 - 240,2 04 07 008977,CARTEIRA COURO 70426 I26,6,540,1614,90,269,269,269,BMCG INDUSTRIA E COMERCIO DE COURO LTDA EPP,BMCG,UNCLE K,INVERNO 2026,ACESSORIOS,CARTEIRA COURO,NACIONAL,COURO,CARTEIRAS,CARTEIRA COURO,70426I26,3/4/2026,1
240 - UK - RECIFE 3 - 240,2 03 10 008975,MOCHILA COURO 61100 I26,5,1365,4095,273,819,819,819,BMCG INDUSTRIA E COMERCIO DE COURO LTDA EPP,BMCG,UNCLE K,INVERNO 2026,MOCHILAS,MOCHILA COURO,NACIONAL,COURO,MOCHILAS/MALAS,MOCHILA,61100I26,3/13/2026,1
226 - UK - RECIFE - 226,2 03 10 008975,MOCHILA COURO 61100 I26,10,2730,8190,273,819,819,819,BMCG INDUSTRIA E COMERCIO DE COURO LTDA EPP,BMCG,UNCLE K,INVERNO 2026,MOCHILAS,MOCHILA COURO,NACIONAL,COURO,MOCHILAS/MALAS,MOCHILA,61100I26,3/16/2026,1
226 - UK - RECIFE - 226,2 01 04 008992,BOLSA NYLON 61455 V26,8,600,1752,75,219,219,219,BMCG INDUSTRIA E COMERCIO DE COURO LTDA EPP,BMCG,UNCLE K,UPCYCLING,BOLSAS,BOLSA NYLON,NACIONAL,NYLON,BOLSAS NYLON BASICO,BOLSA TRANSPASSE,61455V26,3/15/2026,1
240 - UK - RECIFE 3 - 240,2 01 04 008991,BOLSA NYLON 61454 V26,2,130,398,65,199,199,199,BMCG INDUSTRIA E COMERCIO DE COURO LTDA EPP,BMCG,UNCLE K,UPCYCLING,BOLSAS,BOLSA NYLON,NACIONAL,NYLON,BOLSAS NYLON BASICO,BOLSA TRANSPASSE,61454V26,3/20/2026,1
242 - UK - RECIFE 4 - 242,2 01 04 008990,BOLSA NYLON 61453 V26,3,210,597,70,199,199,199,BMCG INDUSTRIA E COMERCIO DE COURO LTDA EPP,BMCG,UNCLE K,UPCYCLING,BOLSAS,BOLSA NYLON,NACIONAL,NYLON,BOLSAS NYLON BASICO,BOLSA MULTIUSO,61453V26,2/13/2026,1
238 - UK - RECIFE 2 - 238,2 01 03 008988,BOLSA COURO 61459 V26,5,"438,1",1345,"87,62",269,269,269,BMCG INDUSTRIA E COMERCIO DE COURO LTDA EPP,BMCG,UNCLE K,UPCYCLING,BOLSAS,BOLSA COURO,NACIONAL,COURO,BOLSAS COURO,BOLSA TRANSPASSE,61459V26,2/18/2026,1
240 - UK - RECIFE 3 - 240,2 01 03 008988,BOLSA COURO 61459 V26,2,"175,24",538,"87,62",269,269,269,BMCG INDUSTRIA E COMERCIO DE COURO LTDA EPP,BMCG,UNCLE K,UPCYCLING,BOLSAS,BOLSA COURO,NACIONAL,COURO,BOLSAS COURO,BOLSA TRANSPASSE,61459V26,3/7/2026,1
238 - UK - RECIFE 2 - 238,2 01 03 008987,BOLSA COURO 61458 V26,2,"175,3",538,"87,65",269,269,269,BMCG INDUSTRIA E COMERCIO DE COURO LTDA EPP,BMCG,UNCLE K,UPCYCLING,BOLSAS,BOLSA COURO,NACIONAL,COURO,BOLSAS COURO,BOLSA OMBRO,61458V26,3/12/2026,1
226 - UK - RECIFE - 226,2 01 03 008987,BOLSA COURO 61458 V26,1,"87,65",269,"87,65",269,269,269,BMCG INDUSTRIA E COMERCIO DE COURO LTDA EPP,BMCG,UNCLE K,UPCYCLING,BOLSAS,BOLSA COURO,NACIONAL,COURO,BOLSAS COURO,BOLSA OMBRO,61458V26,2/22/2026,1
240 - UK - RECIFE 3 - 240,2 04 01 008907,PORTA PASSAPORTE SINTETICO 70621 I26,3,"138,6",417,"46,2",139,139,139,BMCG INDUSTRIA E COMERCIO DE COURO LTDA EPP,BMCG,UNCLE K,INVERNO 2026,ACESSORIOS,ACESSORIOS,NACIONAL,SINTETICO,ACESSORIOS,PORTA PASSAPORTE,70621I26,3/4/2026,1
240 - UK - RECIFE 3 - 240,2 01 04 008932,BOLSA NYLON 61283 I26,4,"671,84",1956,"167,96",489,489,489,BMCG INDUSTRIA E COMERCIO DE COURO LTDA EPP,BMCG,UNCLE K,INVERNO 2026,BOLSAS,BOLSA NYLON,NACIONAL,NYLON,BOLSAS NYLON BASICO,BOLSA MULTIUSO,61283I26,3/19/2026,1
242 - UK - RECIFE 4 - 242,2 01 03 008668,BOLSA COURO 61381 V26,3,"621,36",1947,"207,12",649,649,649,BMCG INDUSTRIA E COMERCIO DE COURO LTDA EPP,BMCG,UNCLE K,VERAO 2026,BOLSAS,BOLSA COURO,NACIONAL,COURO,BOLSAS COURO,BOLSA MULTIUSO,61381V26,12/17/2025,1
238 - UK - RECIFE 2 - 238,2 01 04 008665,BOLSA NYLON 61335 V26,1,"157,57",449,"157,57",449,449,449,BMCG INDUSTRIA E COMERCIO DE COURO LTDA EPP,BMCG,UNCLE K,VERAO 2026,BOLSAS,BOLSA NYLON,NACIONAL,NYLON,BOLSAS NYLON BASICO,BOLSA TRANSPASSE,61335V26,2/25/2026,1
238 - UK - RECIFE 2 - 238,2 01 04 008663,BOLSA NYLON 61282 V26,3,"435,18",1377,"145,06",459,459,459,BMCG INDUSTRIA E COMERCIO DE COURO LTDA EPP,BMCG,UNCLE K,VERAO 2026,BOLSAS,BOLSA NYLON,NACIONAL,NYLON,BOLSAS NYLON BASICO,BOLSA MULTIUSO,61282V26,12/5/2025,1
238 - UK - RECIFE 2 - 238,2 04 01 008684,BOLSA DE MAO NYLON 70416 V26,3,"123,66",297,"41,22",139,99,139,BMCG INDUSTRIA E COMERCIO DE COURO LTDA EPP,BMCG,UNCLE K,VERAO 2026,ACESSORIOS,ACESSORIOS,NACIONAL,NYLON,ACESSORIOS,BOLSA DE MAO,70416V26,3/11/2026,1
226 - UK - RECIFE - 226,2 04 01 008684,BOLSA DE MAO NYLON 70416 V26,1,"41,22",99,"41,22",139,99,139,BMCG INDUSTRIA E COMERCIO DE COURO LTDA EPP,BMCG,UNCLE K,VERAO 2026,ACESSORIOS,ACESSORIOS,NACIONAL,NYLON,ACESSORIOS,BOLSA DE MAO,70416V26,2/28/2026,1
240 - UK - RECIFE 3 - 240,2 04 01 008905,DOLEIRA NY SATIN 70578 I26,12,444,1428,37,119,119,119,BMCG INDUSTRIA E COMERCIO DE COURO LTDA EPP,BMCG,UNCLE K,INVERNO 2026,ACESSORIOS,ACESSORIOS,NACIONAL,SATIN,ACESSORIOS,DOLEIRA,70578I26,3/13/2026,1
238 - UK - RECIFE 2 - 238,2 04 01 008905,DOLEIRA NY SATIN 70578 I26,9,333,1071,37,119,119,119,BMCG INDUSTRIA E COMERCIO DE COURO LTDA EPP,BMCG,UNCLE K,INVERNO 2026,ACESSORIOS,ACESSORIOS,NACIONAL,SATIN,ACESSORIOS,DOLEIRA,70578I26,3/11/2026,1
226 - UK - RECIFE - 226,2 04 01 008904,BOLSINHA DE MAO NY SATIN 70416 I26,1,43,139,43,139,139,139,BMCG INDUSTRIA E COMERCIO DE COURO LTDA EPP,BMCG,UNCLE K,INVERNO 2026,ACESSORIOS,ACESSORIOS,NACIONAL,SATIN,ACESSORIOS,BOLSA DE MAO,70416I26,3/19/2026,1
240 - UK - RECIFE 3 - 240,2 04 01 008904,BOLSINHA DE MAO NY SATIN 70416 I26,1,43,139,43,139,139,139,BMCG INDUSTRIA E COMERCIO DE COURO LTDA EPP,BMCG,UNCLE K,INVERNO 2026,ACESSORIOS,ACESSORIOS,NACIONAL,SATIN,ACESSORIOS,BOLSA DE MAO,70416I26,3/19/2026,1
240 - UK - RECIFE 3 - 240,2 01 03 008667,BOLSA COURO 61379 V26,2,"352,28",1138,"176,14",569,569,569,BMCG INDUSTRIA E COMERCIO DE COURO LTDA EPP,BMCG,UNCLE K,VERAO 2026,BOLSAS,BOLSA COURO,NACIONAL,COURO,BOLSAS COURO,BOLSA MULTIUSO,61379V26,12/17/2025,1
226 - UK - RECIFE - 226,2 01 03 008667,BOLSA COURO 61379 V26,1,"176,14",569,"176,14",569,569,569,BMCG INDUSTRIA E COMERCIO DE COURO LTDA EPP,BMCG,UNCLE K,VERAO 2026,BOLSAS,BOLSA COURO,NACIONAL,COURO,BOLSAS COURO,BOLSA MULTIUSO,61379V26,9/10/2025,1
238 - UK - RECIFE 2 - 238,2 04 13 008680,NECESSAIRE NYLON 70266 V26,2,"69,86",138,"34,93",99,69,99,BMCG INDUSTRIA E COMERCIO DE COURO LTDA EPP,BMCG,UNCLE K,VERAO 2026,ACESSORIOS,NECESSAIRES,NACIONAL,NYLON,NECESSAIRES,NECESSAIRE,70266V26,9/2/2025,1
240 - UK - RECIFE 3 - 240,2 03 10 008710,MOCHILA COURO 61064 V26,1,"266,77",799,"266,77",799,799,799,BMCG INDUSTRIA E COMERCIO DE COURO LTDA EPP,BMCG,UNCLE K,VERAO 2026,MOCHILAS,MOCHILA COURO,NACIONAL,COURO,MOCHILAS BASICAS,MOCHILA,61064V26,10/3/2025,1
226 - UK - RECIFE - 226,2 01 03 008721,BOLSA COURO 61398 V26,1,167,559,167,559,559,559,BMCG INDUSTRIA E COMERCIO DE COURO LTDA EPP,BMCG,UNCLE K,VERAO 2026,BOLSAS,BOLSA COURO,NACIONAL,COURO,BOLSAS COURO,BOLSA MULTIUSO,61398V26,1/16/2026,1
238 - UK - RECIFE 2 - 238,2 01 03 008669,BOLSA COURO 61380 V26,1,"176,81",599,"176,81",599,599,599,BMCG INDUSTRIA E COMERCIO DE COURO LTDA EPP,BMCG,UNCLE K,VERAO 2026,BOLSAS,BOLSA COURO,NACIONAL,COURO,BOLSAS COURO,BOLSA TRANSPASSE,61380V26,9/2/2025,1
226 - UK - RECIFE - 226,2 01 03 008720,BOLSA COURO 61384 V26,1,"178,67",549,"178,67",549,549,549,BMCG INDUSTRIA E COMERCIO DE COURO LTDA EPP,BMCG,UNCLE K,VERAO 2026,BOLSAS,BOLSA COURO,NACIONAL,COURO,BOLSAS COURO,BOLSA MULTIUSO,61384V26,12/9/2025,1
240 - UK - RECIFE 3 - 240,2 01 03 008720,BOLSA COURO 61384 V26,1,"178,67",549,"178,67",549,549,549,BMCG INDUSTRIA E COMERCIO DE COURO LTDA EPP,BMCG,UNCLE K,VERAO 2026,BOLSAS,BOLSA COURO,NACIONAL,COURO,BOLSAS COURO,BOLSA MULTIUSO,61384V26,12/10/2025,1
238 - UK - RECIFE 2 - 238,2 01 03 008720,BOLSA COURO 61384 V26,1,"178,67",549,"178,67",549,549,549,BMCG INDUSTRIA E COMERCIO DE COURO LTDA EPP,BMCG,UNCLE K,VERAO 2026,BOLSAS,BOLSA COURO,NACIONAL,COURO,BOLSAS COURO,BOLSA MULTIUSO,61384V26,2/25/2026,1
242 - UK - RECIFE 4 - 242,2 03 10 008381,MOCHILA COURO 61064 V25,1,"248,05",799,"248,05",799,799,799,BMCG INDUSTRIA E COMERCIO DE COURO LTDA EPP,BMCG,UNCLE K,VERAO 2025,MOCHILAS,MOCHILA COURO,NACIONAL,COURO,MOCHILAS BASICAS,MOCHILA,61064V25,10/16/2024,1
238 - UK - RECIFE 2 - 238,2 04 13 008134,NECESSAIRE NYLON 70266 I24,2,"55,6",89,"27,8",89,"44,5",89,BMCG INDUSTRIA E COMERCIO DE COURO LTDA EPP,BMCG,UNCLE K,INVERNO 2024,ACESSORIOS,NECESSAIRES,NACIONAL,NYLON,NECESSAIRES,NECESSAIRE,70266I24,3/2/2026,1
238 - UK - RECIFE 2 - 238,2 02 18 008624,TENIS COURO RELAX I25,7,917,2933,131,419,419,419,BNM INDUSTRIA DE CALCADOS LTDA - ME,BNM,UNCLE K,INVERNO 2025,CALCADOS,TENIS,NACIONAL,COURO,CALCADOS,TENIS,RELAXI25,6/16/2025,1
240 - UK - RECIFE 3 - 240,2 02 18 008624,TENIS COURO RELAX I25,4,524,1676,131,419,419,419,BNM INDUSTRIA DE CALCADOS LTDA - ME,BNM,UNCLE K,INVERNO 2025,CALCADOS,TENIS,NACIONAL,COURO,CALCADOS,TENIS,RELAXI25,8/12/2025,1
240 - UK - RECIFE 3 - 240,2 02 18 008624,TENIS COURO RELAX I25,1,131,419,131,419,419,419,BNM INDUSTRIA DE CALCADOS LTDA - ME,BNM,UNCLE K,INVERNO 2025,CALCADOS,TENIS,NACIONAL,COURO,CALCADOS,TENIS,RELAXI25,3/16/2026,1
242 - UK - RECIFE 4 - 242,2 02 18 008624,TENIS COURO RELAX I25,1,131,419,131,419,419,419,BNM INDUSTRIA DE CALCADOS LTDA - ME,BNM,UNCLE K,INVERNO 2025,CALCADOS,TENIS,NACIONAL,COURO,CALCADOS,TENIS,RELAXI25,6/26/2025,1
242 - UK - RECIFE 4 - 242,2 02 15 008761,SANDALIA COURO BINGO V26,5,575,1895,115,379,379,379,BNM INDUSTRIA DE CALCADOS LTDA - ME,BNM,UNCLE K,VERAO 2026,CALCADOS,SANDALIA,NACIONAL,COURO,CALCADOS,SANDALIA SALTO,BINGOV26,10/24/2025,1
238 - UK - RECIFE 2 - 238,2 02 15 008761,SANDALIA COURO BINGO V26,1,115,379,115,379,379,379,BNM INDUSTRIA DE CALCADOS LTDA - ME,BNM,UNCLE K,VERAO 2026,CALCADOS,SANDALIA,NACIONAL,COURO,CALCADOS,SANDALIA SALTO,BINGOV26,3/2/2026,1
226 - UK - RECIFE - 226,2 02 15 008761,SANDALIA COURO BINGO V26,3,345,1137,115,379,379,379,BNM INDUSTRIA DE CALCADOS LTDA - ME,BNM,UNCLE K,VERAO 2026,CALCADOS,SANDALIA,NACIONAL,COURO,CALCADOS,SANDALIA SALTO,BINGOV26,10/22/2025,1
240 - UK - RECIFE 3 - 240,2 02 15 008761,SANDALIA COURO BINGO V26,2,230,758,115,379,379,379,BNM INDUSTRIA DE CALCADOS LTDA - ME,BNM,UNCLE K,VERAO 2026,CALCADOS,SANDALIA,NACIONAL,COURO,CALCADOS,SANDALIA SALTO,BINGOV26,1/7/2026,1
226 - UK - RECIFE - 226,2 02 15 008877,SANDALIA COURO RIFT I26,4,464,1516,116,379,379,379,BNM INDUSTRIA DE CALCADOS LTDA - ME,BNM,UNCLE K,INVERNO 2026,CALCADOS,SANDALIA,NACIONAL,COURO,CALCADOS,SANDALIA SALTO,RIFTI26,3/10/2026,1
226 - UK - RECIFE - 226,2 02 15 008877,SANDALIA COURO RIFT I26,1,116,379,116,379,379,379,BNM INDUSTRIA DE CALCADOS LTDA - ME,BNM,UNCLE K,INVERNO 2026,CALCADOS,SANDALIA,NACIONAL,COURO,CALCADOS,SANDALIA SALTO,RIFTI26,3/13/2026,1
226 - UK - RECIFE - 226,2 02 15 008877,SANDALIA COURO RIFT I26,20,2320,7580,116,379,379,379,BNM INDUSTRIA DE CALCADOS LTDA - ME,BNM,UNCLE K,INVERNO 2026,CALCADOS,SANDALIA,NACIONAL,COURO,CALCADOS,SANDALIA SALTO,RIFTI26,2/24/2026,1
226 - UK - RECIFE - 226,2 02 06 008876,BOTA COURO CLOUD I26,11,1518,5269,138,479,479,479,BNM INDUSTRIA DE CALCADOS LTDA - ME,BNM,UNCLE K,INVERNO 2026,CALCADOS,BOTA,NACIONAL,COURO,CALCADOS,BOTA,CLOUDI26,2/24/2026,1
226 - UK - RECIFE - 226,2 02 06 008876,BOTA COURO CLOUD I26,2,276,958,138,479,479,479,BNM INDUSTRIA DE CALCADOS LTDA - ME,BNM,UNCLE K,INVERNO 2026,CALCADOS,BOTA,NACIONAL,COURO,CALCADOS,BOTA,CLOUDI26,3/10/2026,1
238 - UK - RECIFE 2 - 238,2 02 06 008876,BOTA COURO CLOUD I26,2,276,958,138,479,479,479,BNM INDUSTRIA DE CALCADOS LTDA - ME,BNM,UNCLE K,INVERNO 2026,CALCADOS,BOTA,NACIONAL,COURO,CALCADOS,BOTA,CLOUDI26,3/18/2026,1
242 - UK - RECIFE 4 - 242,2 02 17 008324,MOCASSIM COURO UNO V25,1,"121,8",399,"121,8",399,399,399,GRULLER & CASTRO LTDA - ME,GRULLER,UNCLE K,VERAO 2025,CALCADOS,SAPATO,NACIONAL,COURO,CALCADOS,MOCASSIM,UNOV25,2/10/2025,1
226 - UK - RECIFE - 226,2 02 17 008153,MOCASSIM COURO NEON I24,2,220,738,110,369,369,369,GRULLER & CASTRO LTDA - ME,GRULLER,UNCLE K,INVERNO 2024,CALCADOS,SAPATO,NACIONAL,COURO,CALCADOS,MOCASSIM,NEONI24,8/13/2025,1
226 - UK - RECIFE - 226,2 02 17 008153,MOCASSIM COURO NEON I24,1,110,369,110,369,369,369,GRULLER & CASTRO LTDA - ME,GRULLER,UNCLE K,INVERNO 2024,CALCADOS,SAPATO,NACIONAL,COURO,CALCADOS,MOCASSIM,NEONI24,2/19/2026,1
238 - UK - RECIFE 2 - 238,2 02 17 008612,SAPATO COURO YORK I25,1,132,429,132,429,429,429,GRULLER & CASTRO LTDA - ME,GRULLER,UNCLE K,INVERNO 2025,CALCADOS,SAPATO SALTO,NACIONAL,COURO,CALCADOS,SAPATO SALTO,YORKI25,4/1/2025,1
226 - UK - RECIFE - 226,2 02 15 008148,PLATAFORMA NAPA VEG PLATZ I24,1,121,"194,5",121,389,"194,5",389,CAMILA FERRAZ IND. E COM. DE CALCADOS LTDA - EPP,CAMILA FERRAZ - CALCADOS BERVAL,UNCLE K,INVERNO 2024,CALCADOS,SANDALIA,NACIONAL,NAPA VEGGIE,CALCADOS,PLATAFORMA,PLATZI24,2/12/2025,1
242 - UK - RECIFE 4 - 242,2 02 15 007122,SANDALIA SINTETICO SULA V22,1,"71,5",59,"71,5",229,59,229,CAMILA FERRAZ IND. E COM. DE CALCADOS LTDA - EPP,CAMILA FERRAZ - CALCADOS BERVAL,UNCLE K,ANTIGA,CALCADOS,SANDALIA,NACIONAL,SINTETICO,CALCADOS,SANDALIA PLATAFORMA ,SULA V22,9/19/2023,1
240 - UK - RECIFE 3 - 240,02 000004,MATERIAL CONSUMO SACO EM TNT,950,,,,,0,,MAD AND MAIDEN CONFECCOES LTDA - ME,MAD AND MAIDEN,,,,,,,,,,3/11/2026,1
238 - UK - RECIFE 2 - 238,02 000004,MATERIAL CONSUMO SACO EM TNT,539,,,,,0,,MAD AND MAIDEN CONFECCOES LTDA - ME,MAD AND MAIDEN,,,,,,,,,,3/16/2026,1
242 - UK - RECIFE 4 - 242,02 000004,MATERIAL CONSUMO SACO EM TNT,600,,,,,0,,MAD AND MAIDEN CONFECCOES LTDA - ME,MAD AND MAIDEN,,,,,,,,,,2/4/2026,1
226 - UK - RECIFE - 226,02 000005,MATERIAL CONSUMO SACO EM TNT GUARDA CHUVA,18,,,,,0,,MAD AND MAIDEN CONFECCOES LTDA - ME,MAD AND MAIDEN,,,,,,,,,,3/10/2026,1
226 - UK - RECIFE - 226,02 000002,MATERIAL CONSUMO SACOLA UNCLE K OFF SET,1666,,,,,0,,GREENPACK ACABAMENTOS GRAFICOS LTDA. - ME,BLUE PACK,,,,,,,,,,3/10/2026,1
226 - UK - RECIFE - 226,02 000002,MATERIAL CONSUMO SACOLA UNCLE K OFF SET,237,"836,61",,"3,53",,0,,GREENPACK ACABAMENTOS GRAFICOS LTDA. - ME,BLUE PACK,,,,,,,,,,3/10/2026,1
240 - UK - RECIFE 3 - 240,2 02 15 008010,SANDALIA NAPA VEGGIE DECK V24,1,125,159,125,379,159,379,BELLE MODAS IND. E  COM. CALCADOS LTDA,ANA AGUIAR,UNCLE K,VERAO 2024,CALCADOS,SANDALIA,NACIONAL,NAPA VEGGIE,CALCADOS,PAPETE,DECKV24,8/23/2025,1
242 - UK - RECIFE 4 - 242,2 04 13 008984,ORGANIZADOR NY SATIN 70559 I26,7,"429,8",1323,"61,4",189,189,189,"CAJU BOLSAS, SAPATOS E ACESSORIOS LTDA.",OPERA - TARSILA,UNCLE K,INVERNO 2026,ACESSORIOS,NECESSAIRES,NACIONAL,SATIN,NECESSAIRES,NECESSAIRE,70559I26,3/16/2026,1
238 - UK - RECIFE 2 - 238,2 04 13 008984,ORGANIZADOR NY SATIN 70559 I26,5,307,945,"61,4",189,189,189,"CAJU BOLSAS, SAPATOS E ACESSORIOS LTDA.",OPERA - TARSILA,UNCLE K,INVERNO 2026,ACESSORIOS,NECESSAIRES,NACIONAL,SATIN,NECESSAIRES,NECESSAIRE,70559I26,3/18/2026,1
242 - UK - RECIFE 4 - 242,2 01 05 008699,BOLSA NY SATIN 61372 V26,1,105,349,105,349,349,349,"CAJU BOLSAS, SAPATOS E ACESSORIOS LTDA.",OPERA - TARSILA,UNCLE K,VERAO 2026,BOLSAS,BOLSA OUTROS,NACIONAL,SATIN,BOLSAS ESPECIAIS,BOLSA OMBRO,61372V26,8/27/2025,1
226 - UK - RECIFE - 226,2 01 05 008698,BOLSA NY SATIN 61371 V26,2,258,738,129,369,369,369,"CAJU BOLSAS, SAPATOS E ACESSORIOS LTDA.",OPERA - TARSILA,UNCLE K,VERAO 2026,BOLSAS,BOLSA OUTROS,NACIONAL,SATIN,BOLSAS ESPECIAIS,BOLSA TRANSPASSE,61371V26,1/30/2026,1
240 - UK - RECIFE 3 - 240,2 01 03 008696,BOLSA COURO 61401 V26,1,122,429,122,429,429,429,"CAJU BOLSAS, SAPATOS E ACESSORIOS LTDA.",OPERA - TARSILA,UNCLE K,VERAO 2026,BOLSAS,BOLSA COURO,NACIONAL,COURO,BOLSAS COURO,BOLSA TRANSPASSE,61401V26,1/8/2026,1
240 - UK - RECIFE 3 - 240,2 01 03 008694,BOLSA COURO 61107 V26,1,167,599,167,599,599,599,"CAJU BOLSAS, SAPATOS E ACESSORIOS LTDA.",OPERA - TARSILA,UNCLE K,VERAO 2026,BOLSAS,BOLSA COURO,NACIONAL,COURO,BOLSAS COURO,BOLSA MULTIUSO,61107V26,3/5/2026,1
240 - UK - RECIFE 3 - 240,2 01 03 008694,BOLSA COURO 61107 V26,1,167,599,167,599,599,599,"CAJU BOLSAS, SAPATOS E ACESSORIOS LTDA.",OPERA - TARSILA,UNCLE K,VERAO 2026,BOLSAS,BOLSA COURO,NACIONAL,COURO,BOLSAS COURO,BOLSA MULTIUSO,61107V26,2/11/2026,1
242 - UK - RECIFE 4 - 242,2 01 05 008964,BOLSA PU NOBUCK 61329 I26,2,160,558,80,279,279,279,"CAJU BOLSAS, SAPATOS E ACESSORIOS LTDA.",OPERA - TARSILA,UNCLE K,INVERNO 2026,BOLSAS,BOLSA OUTROS,NACIONAL,PU NOBUCK,BOLSAS PU,BOLSA MULTIUSO,61329I26,2/24/2026,1
242 - UK - RECIFE 4 - 242,2 01 05 008954,BOLSA NY SATIN 61441 I26,5,484,1595,"96,8",319,319,319,"CAJU BOLSAS, SAPATOS E ACESSORIOS LTDA.",OPERA - TARSILA,UNCLE K,INVERNO 2026,BOLSAS,BOLSA OUTROS,NACIONAL,SATIN,BOLSAS ESPECIAIS,BOLSA MULTIUSO,61441I26,3/16/2026,1
238 - UK - RECIFE 2 - 238,2 01 05 008953,BOLSA NY SATIN 61426 I26,5,465,1495,93,299,299,299,"CAJU BOLSAS, SAPATOS E ACESSORIOS LTDA.",OPERA - TARSILA,UNCLE K,INVERNO 2026,BOLSAS,BOLSA OUTROS,NACIONAL,SATIN,BOLSAS ESPECIAIS,BOLSA MULTIUSO,61426I26,3/18/2026,1
242 - UK - RECIFE 4 - 242,2 01 03 008936,BOLSA COURO 61430 I26,6,963,2814,"160,5",469,469,469,"CAJU BOLSAS, SAPATOS E ACESSORIOS LTDA.",OPERA - TARSILA,UNCLE K,INVERNO 2026,BOLSAS,BOLSA COURO,NACIONAL,COURO,BOLSAS COURO,BOLSA TRANSPASSE,61430I26,3/16/2026,1
240 - UK - RECIFE 3 - 240,2 01 03 008935,BOLSA COURO 61300 I26,12,2388,7188,199,599,599,599,"CAJU BOLSAS, SAPATOS E ACESSORIOS LTDA.",OPERA - TARSILA,UNCLE K,INVERNO 2026,BOLSAS,BOLSA COURO,NACIONAL,COURO,BOLSAS COURO,BOLSA TRANSPASSE,61300I26,3/16/2026,1
242 - UK - RECIFE 4 - 242,2 01 03 008650,BOLSA COURO 61386 V26,1,148,499,148,499,499,499,"CAJU BOLSAS, SAPATOS E ACESSORIOS LTDA.",OPERA - TARSILA,UNCLE K,VERAO 2026,BOLSAS,BOLSA COURO,NACIONAL,COURO,BOLSAS COURO,BOLSA OMBRO,61386V26,1/23/2026,1
