Produto,De,Para,Quantidade
"('COLAR CORDA/CRISTAL CV26A', 52811, 'PTO/BRANCO', 'U')",238 - UK - RECIFE 2 - 238,240 - UK - RECIFE 3 - 240,2
"('COLAR CORDA/CRISTAL CV26A', 52811, 'PTO/BRANCO', 'U')",226 - UK - RECIFE - 226,242 - UK - RECIFE 4 - 242,2
"('COLAR METAL CI25L', 52681, 'PRATA VELHA', 'U')",242 - UK - RECIFE 4 - 242,226 - UK - RECIFE - 226,2
"('COLAR METAL CI25L', 52681, 'PRATA VELHA', 'U')",242 - UK - RECIFE 4 - 242,238 - UK - RECIFE 2 - 238,1
"('COLAR METAL CI25L', 52681, 'PRATA VELHA', 'U')",240 - UK - RECIFE 3 - 240,238 - UK - RECIFE 2 - 238,1
"('COLAR METAL CV26H', 52904, 'VERDE', 'U')",226 - UK - RECIFE - 226,238 - UK - RECIFE 2 - 238,1
"('COLAR METAL CV26H', 52905, 'AZUL', 'U')",242 - UK - RECIFE 4 - 242,226 - UK - RECIFE - 226,1
"('COLAR RESINA CI26A', 54894, 'VERDE', 'U')",226 - UK - RECIFE - 226,240 - UK - RECIFE 3 - 240,1
"('COLAR RESINA CV26B', 52813, 'LARANJA', 'U')",240 - UK - RECIFE 3 - 240,242 - UK - RECIFE 4 - 242,1
"('COLAR RESINA CV26B', 52813, 'LARANJA', 'U')",226 - UK - RECIFE - 226,242 - UK - RECIFE 4 - 242,1
"('DOLEIRA NY SATIN 70578 I26', 54882, 'PRETO', 'U')",226 - UK - RECIFE - 226,242 - UK - RECIFE 4 - 242,2
"('GARRAFA ALUMINIO ACQUA V25', 50051, 'PRETO', 'U')",238 - UK - RECIFE 2 - 238,240 - UK - RECIFE 3 - 240,1
"('GUARDA CHUVA POLIESTER GOMOS P', 51792, 'VERDE', 'U')",242 - UK - RECIFE 4 - 242,226 - UK - RECIFE - 226,2
"('GUARDA CHUVA POLIESTER GOMOS P', 51793, 'MARROM', 'U')",238 - UK - RECIFE 2 - 238,226 - UK - RECIFE - 226,2
"('GUARDA CHUVA POLIESTER GOMOS P', 51795, 'MARINHO', 'U')",238 - UK - RECIFE 2 - 238,226 - UK - RECIFE - 226,3
"('GUARDA CHUVA POLIESTER GOMOS P', 51796, 'ROXO', 'U')",242 - UK - RECIFE 4 - 242,226 - UK - RECIFE - 226,3
"('MOCHILA COURO 61064 I25', 52319, 'VERDE', 'U')",240 - UK - RECIFE 3 - 240,226 - UK - RECIFE - 226,2
"('MOCHILA COURO 61064 I25', 52319, 'VERDE', 'U')",226 - UK - RECIFE - 226,238 - UK - RECIFE 2 - 238,1
"('MOCHILA KING RUBBER 61047 V26', 54021, 'MARROM', 'U')",238 - UK - RECIFE 2 - 238,226 - UK - RECIFE - 226,1
"('MOCHILA NY BNT 61151 V26', 54016, 'PRETO', 'U')",238 - UK - RECIFE 2 - 238,226 - UK - RECIFE - 226,1
"('MOCHILA NY BNT BIG BUK V26', 54051, 'PRETO', 'U')",240 - UK - RECIFE 3 - 240,226 - UK - RECIFE - 226,2
"('MOCHILA NY BNT BUK V26', 54046, 'PRETO', 'U')",238 - UK - RECIFE 2 - 238,226 - UK - RECIFE - 226,2
"('MOCHILA NY BNT BUK V26', 54048, 'CAQUI', 'U')",238 - UK - RECIFE 2 - 238,226 - UK - RECIFE - 226,1
